Var1,Var2,Var3,Var4
1,Aguascalientes,MX,darkgreen
2,Alabama,US,blue
3,Alaska,US,blue
4,Alberta,CA,red
5,Arizona,US,blue
6,Arkansas,US,blue
7,Baja California,MX,darkgreen
8,Baja California Sur,MX,darkgreen
9,British Columbia,CA,red
10,California,US,blue
11,Campeche,MX,darkgreen
12,Chiapas,MX,darkgreen
13,Chihuahua,MX,darkgreen
14,Coahuila de Zaragoza,MX,darkgreen
15,Colima,MX,darkgreen
16,Colorado,US,blue
17,Connecticut,US,blue
18,Delaware,US,blue
19,District of Columbia,US,blue
20,Distrito Federal,MX,darkgreen
21,Durango,MX,darkgreen
22,Estado de Mexico,MX,darkgreen
23,Florida,US,blue
24,Georgia,US,blue
25,Guanajuato,MX,darkgreen
26,Guerrero,MX,darkgreen
27,Hawaii,US,blue
28,Hidalgo,MX,darkgreen
29,Idaho,US,blue
30,Illinois,US,blue
31,Indiana,US,blue
32,Iowa,US,blue
33,Jalisco,MX,darkgreen
34,Kansas,US,blue
35,Kentucky,US,blue
36,Louisiana,US,blue
37,Maine,US,blue
38,Manitoba,CA,red
39,Maryland,US,blue
40,Massachusetts,US,blue
41,Michigan,US,blue
42,Michoacan de Ocampo,MX,darkgreen
43,Minnesota,US,blue
44,Mississippi,US,blue
45,Missouri,US,blue
46,Montana,US,blue
47,Morelos,MX,darkgreen
48,Nayarit,MX,darkgreen
49,Nebraska,US,blue
50,Nevada,US,blue
51,New Brunswick,CA,red
52,New Hampshire,US,blue
53,New Jersey,US,blue
54,New Mexico,US,blue
55,New York,US,blue
56,Newfoundland and Labrador,CA,red
57,North Carolina,US,blue
58,North Dakota,US,blue
59,Northwest Territories,CA,red
60,Nova Scotia,CA,red
61,Nuevo Leon,MX,darkgreen
62,Nunavut,CA,red
63,Oaxaca,MX,darkgreen
64,Ohio,US,blue
65,Oklahoma,US,blue
66,Ontario,CA,red
67,Oregon,US,blue
68,Pennsylvania,US,blue
69,Prince Edward Island,CA,red
70,Puebla,MX,darkgreen
71,Quebec,CA,red
72,Queretaro,MX,darkgreen
73,Quintana Roo,MX,darkgreen
74,Rhode Island,US,blue
75,San Luis Potosi,MX,darkgreen
76,Saskatchewan,CA,red
77,Sinaloa,MX,darkgreen
78,Sonora,MX,darkgreen
79,South Carolina,US,blue
80,South Dakota,US,blue
81,Tabasco,MX,darkgreen
82,Tamaulipas,MX,darkgreen
83,Tennessee,US,blue
84,Texas,US,blue
85,Tlaxcala,MX,darkgreen
86,Utah,US,blue
87,Veracruz de Ignacio de la Llave,MX,darkgreen
88,Vermont,US,blue
89,Virginia,US,blue
90,Washington,US,blue
91,West Virginia,US,blue
92,Wisconsin,US,blue
93,Wyoming,US,blue
94,Yucatan,MX,darkgreen
95,Yukon,CA,red
96,Zacatecas,MX,darkgreen
